x_coordinate,y_coordinate,Cell_Type,TCN_Label
-2968.146755,3891.125517,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2965.992366,4004.76862,199 PAG-MRN-RN Foxa2 Gaba,2
-2963.325218,3975.288257,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2956.981804,3955.224497,199 PAG-MRN-RN Foxa2 Gaba,8
-2954.543265,3924.323612,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2946.200159,3950.864045,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2932.016877,3986.709491,199 PAG-MRN-RN Foxa2 Gaba,8
-2922.98543,3923.325592,199 PAG-MRN-RN Foxa2 Gaba,8
-2924.764343,3850.659291,199 PAG-MRN-RN Foxa2 Gaba,8
-2921.716174,3828.224288,199 PAG-MRN-RN Foxa2 Gaba,8
-2914.559087,3922.557977,073 MEA-BST Sox6 Gaba,8
-2916.769962,3882.783926,199 PAG-MRN-RN Foxa2 Gaba,8
-2909.183945,3904.820657,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2907.406593,3949.510786,196 PAG-PPN Pax5 Sox21 Gaba,8
-2908.638578,3979.868829,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2904.906559,3862.313155,196 PAG-PPN Pax5 Sox21 Gaba,8
-2889.258942,3868.020462,199 PAG-MRN-RN Foxa2 Gaba,8
-2886.256158,3875.019641,173 PAG Pou4f2 Glut,8
-2872.651875,3849.984157,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2868.865291,3940.72464,196 PAG-PPN Pax5 Sox21 Gaba,8
-2858.515815,3859.665588,073 MEA-BST Sox6 Gaba,8
-2851.702558,3996.590892,199 PAG-MRN-RN Foxa2 Gaba,2
-2849.4454,3902.290671,199 PAG-MRN-RN Foxa2 Gaba,8
-2849.062855,3886.646779,199 PAG-MRN-RN Foxa2 Gaba,8
-2980.30224,3913.345025,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2969.623416,3967.167773,073 MEA-BST Sox6 Gaba,2
-2949.80623,4002.807658,199 PAG-MRN-RN Foxa2 Gaba,2
-2945.170386,3890.002735,199 PAG-MRN-RN Foxa2 Gaba,8
-2945.775108,3933.676386,199 PAG-MRN-RN Foxa2 Gaba,8
-2857.780778,3929.522991,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2979.859064,3867.108201,199 PAG-MRN-RN Foxa2 Gaba,8
-2973.617293,3953.254772,049 Lamp5 Gaba,8
-2966.767588,3902.178035,199 PAG-MRN-RN Foxa2 Gaba,8
-2939.892179,3841.332755,199 PAG-MRN-RN Foxa2 Gaba,8
